entity_id,timestamp,latitude,longitude
E-3433,2025-05-07T09:14:02.929Z,37.718927,-122.439079
E-d266,2025-05-07T21:22:51.391Z,37.825684,-122.361986
E-d2be,2025-05-07T16:40:48.661Z,37.713380,-122.447799
E-e1bf,2025-05-07T09:06:28.263Z,37.726323,-122.438329
E-9e02,2025-05-07T10:33:13.869Z,37.777473,-122.426799
E-e57f,2025-05-07T11:54:55.244Z,37.801525,-122.352456
E-35be,2025-05-07T07:58:38.269Z,37.704238,-122.472847
E-a11a,2025-05-07T17:01:27.227Z,37.807457,-122.385738
E-a05b,2025-05-07T14:32:23.668Z,37.771047,-122.382425
E-a733,2025-05-07T17:45:31.758Z,37.721735,-122.460528
E-3a08,2025-05-07T00:48:00.099Z,37.744108,-122.518161
E-30f1,2025-05-07T17:05:34.043Z,37.788790,-122.493093
E-5639,2025-05-07T02:59:32.677Z,37.773577,-122.403228
E-82b7,2025-05-07T11:29:35.405Z,37.724049,-122.434551
E-b06b,2025-05-07T16:50:08.872Z,37.765727,-122.479593
E-638b,2025-05-07T09:24:12.108Z,37.721880,-122.375818
E-a600,2025-05-07T05:42:36.459Z,37.815185,-122.369571
E-005c,2025-05-07T10:53:03.715Z,37.716542,-122.357902
E-fbdf,2025-05-07T20:36:17.641Z,37.723753,-122.414206
E-34da,2025-05-07T01:42:15.692Z,37.766530,-122.489952
E-40ee,2025-05-06T23:21:31.930Z,37.805795,-122.473570
E-097a,2025-05-07T18:20:15.080Z,37.755593,-122.400270
E-ccf8,2025-05-06T23:31:15.933Z,37.826758,-122.415535
E-30cb,2025-05-07T09:28:40.591Z,37.761015,-122.409111
E-0de1,2025-05-06T23:24:30.551Z,37.782394,-122.467081
E-3bec,2025-05-07T12:07:44.618Z,37.780729,-122.520774
E-76e3,2025-05-07T15:06:41.815Z,37.828714,-122.516981
E-da6a,2025-05-07T02:11:15.465Z,37.813465,-122.527140
E-8a3c,2025-05-07T04:31:21.614Z,37.819002,-122.468787
E-9432,2025-05-07T21:16:44.975Z,37.703364,-122.485435
E-88ba,2025-05-07T01:01:00.202Z,37.736184,-122.503088
E-30c2,2025-05-07T02:09:14.499Z,37.720367,-122.438203
E-1815,2025-05-07T13:55:47.431Z,37.769648,-122.414601
E-c86f,2025-05-07T19:09:10.750Z,37.721917,-122.461020
E-6633,2025-05-07T16:45:33.007Z,37.756059,-122.481109
E-f03b,2025-05-07T08:40:07.975Z,37.737474,-122.375172
E-cd5b,2025-05-07T04:24:24.115Z,37.814431,-122.506581
E-4a0d,2025-05-07T03:21:11.046Z,37.781394,-122.403730
E-7244,2025-05-07T17:34:27.510Z,37.801643,-122.484617
E-43ea,2025-05-07T15:02:53.764Z,37.779471,-122.372637
E-5460,2025-05-07T02:28:22.484Z,37.701729,-122.477533
E-2a8b,2025-05-07T11:01:22.642Z,37.809265,-122.353900
E-6a5a,2025-05-07T08:44:50.399Z,37.773900,-122.429063
E-cdc7,2025-05-07T20:19:44.617Z,37.716351,-122.492858
E-f29b,2025-05-07T03:59:05.690Z,37.782245,-122.493763
E-2ab6,2025-05-07T08:53:36.483Z,37.749685,-122.358089
E-b6c2,2025-05-07T16:48:35.328Z,37.721047,-122.448441
E-aaba,2025-05-07T09:00:53.092Z,37.787085,-122.501373
E-39a5,2025-05-07T12:54:54.870Z,37.778975,-122.444833
E-4a7b,2025-05-07T19:06:44.819Z,37.758102,-122.491278
E-5655,2025-05-07T10:06:04.782Z,37.702391,-122.508095
E-a1b9,2025-05-07T05:46:07.736Z,37.804612,-122.391213
E-7f9c,2025-05-07T14:03:41.198Z,37.793619,-122.495395
E-be38,2025-05-07T09:13:16.066Z,37.705957,-122.383987
E-274a,2025-05-07T09:49:02.957Z,37.773194,-122.428708
E-7935,2025-05-07T17:03:29.309Z,37.787369,-122.356567
E-062d,2025-05-06T23:05:23.882Z,37.754396,-122.511635
E-f1c4,2025-05-07T18:09:35.204Z,37.706125,-122.493102
E-b62f,2025-05-07T14:47:16.450Z,37.704045,-122.488762
E-0d4f,2025-05-07T12:40:35.272Z,37.816969,-122.372900
E-2e16,2025-05-07T20:38:35.611Z,37.779989,-122.430561
E-b857,2025-05-07T13:34:14.191Z,37.799586,-122.474867
E-9477,2025-05-07T16:26:23.653Z,37.800756,-122.480043
E-1185,2025-05-07T20:37:51.104Z,37.722281,-122.529918
E-e54e,2025-05-07T08:31:06.514Z,37.828129,-122.496686
E-e6e3,2025-05-07T00:57:15.785Z,37.761140,-122.367134
E-1ac8,2025-05-06T23:14:48.085Z,37.724828,-122.526799
E-eec6,2025-05-07T03:46:59.178Z,37.764842,-122.403203
E-c39d,2025-05-07T10:21:59.540Z,37.732276,-122.463014
E-1416,2025-05-07T06:41:27.585Z,37.740955,-122.519679
E-ea43,2025-05-07T03:15:32.153Z,37.772491,-122.415347
E-0320,2025-05-07T13:34:48.035Z,37.795232,-122.435401
E-b32b,2025-05-07T11:11:01.698Z,37.713496,-122.403745
E-cde3,2025-05-07T06:35:59.908Z,37.752995,-122.427850
E-9a5b,2025-05-07T07:27:23.802Z,37.827911,-122.375866
E-e45f,2025-05-07T10:48:26.709Z,37.798197,-122.403686
E-0836,2025-05-07T17:51:54.813Z,37.708078,-122.454036
E-dd64,2025-05-07T14:04:41.354Z,37.739938,-122.425308
E-af0e,2025-05-06T21:51:27.266Z,37.790771,-122.526629
E-656e,2025-05-07T14:00:08.764Z,37.764559,-122.420802
E-d829,2025-05-07T17:33:29.616Z,37.715891,-122.507213
E-2d11,2025-05-07T03:49:14.133Z,37.811727,-122.521658
E-5da0,2025-05-07T04:49:56.525Z,37.805269,-122.478482
E-c81f,2025-05-07T11:59:17.306Z,37.786541,-122.397296
E-e13e,2025-05-07T15:35:17.658Z,37.817136,-122.375574
E-e201,2025-05-07T04:08:05.334Z,37.787275,-122.508266
E-753e,2025-05-07T02:35:59.808Z,37.808556,-122.485144
E-4e15,2025-05-07T15:56:48.240Z,37.819726,-122.425135
E-bd3b,2025-05-07T00:17:16.916Z,37.822500,-122.430516
E-ae6e,2025-05-07T08:42:04.301Z,37.797924,-122.427535
E-05cf,2025-05-07T06:25:00.167Z,37.737346,-122.442329
E-5497,2025-05-06T23:01:21.772Z,37.786359,-122.406718
E-40be,2025-05-07T08:03:37.225Z,37.742816,-122.391950
E-bba5,2025-05-07T10:42:13.831Z,37.818619,-122.390933
E-ee2b,2025-05-07T15:05:52.463Z,37.765470,-122.400764
E-5a36,2025-05-07T14:29:34.154Z,37.730313,-122.428201
E-072e,2025-05-07T19:34:17.600Z,37.731868,-122.466911
E-2f7e,2025-05-06T23:50:11.640Z,37.809898,-122.410753
E-8bca,2025-05-06T23:50:23.011Z,37.814158,-122.449355
E-8f0d,2025-05-07T20:19:44.636Z,37.794571,-122.388631
E-a517,2025-05-07T00:36:12.453Z,37.788669,-122.389759
E-937f,2025-05-07T14:19:11.879Z,37.704628,-122.440783
E-d8e1,2025-05-07T03:43:48.748Z,37.772011,-122.405089
E-b07f,2025-05-06T21:25:07.867Z,37.734753,-122.468269
E-f327,2025-05-07T20:16:07.697Z,37.736622,-122.454596
E-f972,2025-05-07T11:57:41.493Z,37.759501,-122.409808
E-b475,2025-05-07T20:39:59.949Z,37.751292,-122.432862
E-2968,2025-05-07T10:35:09.822Z,37.730795,-122.430022
E-08b2,2025-05-07T03:33:41.986Z,37.706048,-122.513893
E-d19b,2025-05-07T18:17:15.191Z,37.736413,-122.376449
E-227f,2025-05-07T20:33:04.891Z,37.817543,-122.417423
E-7136,2025-05-07T10:42:53.638Z,37.717530,-122.465115
E-002c,2025-05-07T20:38:40.425Z,37.788356,-122.451342
E-beb1,2025-05-07T07:40:20.019Z,37.705890,-122.376372
E-7ea1,2025-05-07T14:11:23.734Z,37.739812,-122.430568
E-aa3f,2025-05-06T21:38:29.893Z,37.738964,-122.447570
E-1042,2025-05-07T01:30:12.230Z,37.719608,-122.438005
E-0bd6,2025-05-07T19:15:26.049Z,37.722151,-122.421015
E-43c9,2025-05-07T02:22:57.104Z,37.713477,-122.478911
E-fe9b,2025-05-06T23:55:34.524Z,37.772659,-122.435951
E-c418,2025-05-07T02:26:40.130Z,37.777972,-122.374992
E-9c4d,2025-05-07T16:25:37.989Z,37.813487,-122.424668
E-75bf,2025-05-07T02:48:56.937Z,37.762782,-122.442057
E-20a4,2025-05-07T02:55:15.309Z,37.772120,-122.430000
E-fd60,2025-05-07T08:50:10.534Z,37.714459,-122.394120
E-a9d6,2025-05-07T12:47:21.269Z,37.706560,-122.500011
E-b88f,2025-05-07T16:55:12.719Z,37.711065,-122.514079
E-f73a,2025-05-07T15:16:04.346Z,37.700000,-122.484848
E-85ac,2025-05-07T20:31:44.762Z,37.813124,-122.461135
E-d716,2025-05-07T02:14:19.467Z,37.819924,-122.350321
E-8007,2025-05-07T00:41:38.442Z,37.739181,-122.518907
E-be5e,2025-05-07T02:43:22.485Z,37.803005,-122.358766
E-a0a7,2025-05-07T09:24:05.165Z,37.818800,-122.487636
E-7d66,2025-05-07T12:15:13.734Z,37.746191,-122.443203
E-0720,2025-05-06T22:07:39.566Z,37.823875,-122.472542
E-68f5,2025-05-07T00:39:37.665Z,37.719088,-122.454925
E-cc3b,2025-05-07T07:42:02.914Z,37.779147,-122.426776
E-4dae,2025-05-07T02:10:24.996Z,37.700039,-122.392906
E-318a,2025-05-07T13:32:04.302Z,37.736309,-122.388982
E-e146,2025-05-07T09:16:42.683Z,37.779999,-122.486648
E-df1c,2025-05-06T23:28:24.639Z,37.717508,-122.386261
E-0a26,2025-05-07T07:03:37.416Z,37.788869,-122.481078
E-018e,2025-05-07T04:47:56.153Z,37.780601,-122.465330
E-0b08,2025-05-07T08:46:35.951Z,37.826506,-122.406645
E-6623,2025-05-07T03:12:43.673Z,37.773027,-122.370351
E-55ca,2025-05-07T04:21:11.161Z,37.808417,-122.385183
E-11c2,2025-05-07T11:10:04.230Z,37.778771,-122.364929
E-2649,2025-05-07T00:12:37.790Z,37.783409,-122.407684
E-b132,2025-05-07T18:48:02.501Z,37.718824,-122.387681
E-2b16,2025-05-07T07:30:44.207Z,37.702167,-122.423698
E-9e94,2025-05-07T05:42:43.154Z,37.729616,-122.431214
E-da0b,2025-05-07T03:23:23.560Z,37.727513,-122.440186
E-e575,2025-05-07T07:37:11.204Z,37.786405,-122.357148
E-1f43,2025-05-07T04:43:49.031Z,37.820635,-122.504864
E-9508,2025-05-07T13:18:21.590Z,37.742578,-122.376673
E-c643,2025-05-07T17:36:54.289Z,37.757424,-122.510235
E-447d,2025-05-07T12:35:29.995Z,37.756161,-122.498674
E-bf80,2025-05-07T01:29:56.988Z,37.789374,-122.461078
E-9c95,2025-05-07T09:24:39.761Z,37.810582,-122.516557
E-5e7f,2025-05-07T13:45:40.263Z,37.816086,-122.384105
E-f7c3,2025-05-06T22:21:29.661Z,37.738277,-122.435738
E-8cf5,2025-05-07T07:34:48.434Z,37.725710,-122.432836
E-86bf,2025-05-07T11:03:58.181Z,37.738178,-122.448916
E-cf7c,2025-05-07T07:52:40.825Z,37.826588,-122.439371
E-7a40,2025-05-07T02:53:25.068Z,37.795543,-122.406825
E-d99a,2025-05-07T03:34:15.908Z,37.769114,-122.475112
E-57ad,2025-05-07T03:01:03.056Z,37.735710,-122.409812
E-9cb4,2025-05-07T05:53:33.276Z,37.767263,-122.452862
E-b65c,2025-05-07T01:43:16.147Z,37.764619,-122.403541
E-8d33,2025-05-07T13:55:53.613Z,37.786873,-122.502561
E-ded9,2025-05-07T08:51:40.894Z,37.706538,-122.427652
E-7b5e,2025-05-07T00:58:28.765Z,37.701256,-122.447196
E-213a,2025-05-07T19:25:58.341Z,37.787676,-122.390602
E-1b2f,2025-05-07T18:20:29.471Z,37.799316,-122.479687
E-7e11,2025-05-07T13:05:38.462Z,37.737170,-122.467476
E-9ab8,2025-05-07T16:50:33.488Z,37.769963,-122.519265
E-cb6c,2025-05-07T00:20:20.891Z,37.756789,-122.421203
E-6f87,2025-05-07T03:56:12.472Z,37.715991,-122.502098
E-046a,2025-05-07T07:56:39.078Z,37.792357,-122.444665
E-21ba,2025-05-07T04:14:04.666Z,37.738723,-122.387593
E-eeb1,2025-05-07T15:39:07.070Z,37.808713,-122.489718
E-474b,2025-05-07T12:10:36.518Z,37.733065,-122.409028
E-66d1,2025-05-07T14:14:24.411Z,37.764148,-122.513991
E-f3fd,2025-05-07T16:10:52.769Z,37.722311,-122.510346
E-94d8,2025-05-06T23:01:23.745Z,37.732570,-122.456735
E-52ea,2025-05-07T12:50:25.197Z,37.792358,-122.453573
E-8c07,2025-05-07T04:02:17.399Z,37.817054,-122.400904
E-1ad8,2025-05-07T09:51:31.439Z,37.712059,-122.370136
E-8216,2025-05-07T11:18:19.231Z,37.729234,-122.492922
E-28dd,2025-05-07T18:31:00.912Z,37.791603,-122.421632
E-ae7a,2025-05-07T18:05:20.271Z,37.719388,-122.483732
E-01ac,2025-05-07T04:33:08.122Z,37.709552,-122.510784
E-1bd4,2025-05-07T08:24:17.053Z,37.730273,-122.463900
E-870c,2025-05-07T09:24:27.176Z,37.782297,-122.436561
E-1e50,2025-05-07T00:32:54.005Z,37.757908,-122.358463
E-4e86,2025-05-07T00:55:08.344Z,37.767891,-122.435365
E-c71f,2025-05-07T19:27:40.170Z,37.722215,-122.448321
E-27f7,2025-05-07T19:41:12.866Z,37.812227,-122.351766
E-5c4d,2025-05-07T18:35:39.953Z,37.753953,-122.460418
E-4b2e,2025-05-07T08:02:18.374Z,37.746862,-122.432560
E-2d92,2025-05-07T12:26:19.088Z,37.704728,-122.416661
E-72a9,2025-05-07T00:33:37.037Z,37.781968,-122.468497
E-8893,2025-05-07T07:24:18.693Z,37.764440,-122.384020
E-a06a,2025-05-07T10:37:02.746Z,37.810249,-122.352235
E-adc1,2025-05-07T14:32:04.470Z,37.703917,-122.389452
E-e182,2025-05-07T12:45:18.517Z,37.809811,-122.520015
E-b8fc,2025-05-06T23:48:31.756Z,37.805740,-122.448535
E-202e,2025-05-07T10:40:52.650Z,37.793914,-122.517526
E-75aa,2025-05-07T12:34:02.944Z,37.803542,-122.462240
E-e6b9,2025-05-06T22:06:54.275Z,37.820234,-122.411887
E-4cda,2025-05-07T06:43:22.936Z,37.776611,-122.438705
E-98d8,2025-05-07T14:22:44.520Z,37.783922,-122.464420
E-b4e7,2025-05-07T06:05:24.333Z,37.771591,-122.402014
E-04b8,2025-05-07T18:34:45.090Z,37.769182,-122.399620
E-6672,2025-05-07T00:16:27.340Z,37.811500,-122.514128
E-8134,2025-05-07T15:32:10.535Z,37.721955,-122.368143
E-c4da,2025-05-07T05:12:09.800Z,37.788176,-122.522382
E-be1e,2025-05-07T03:54:11.171Z,37.712433,-122.516785
E-d729,2025-05-07T03:00:17.812Z,37.828423,-122.512811
E-c53a,2025-05-07T20:30:19.286Z,37.767355,-122.373729
E-3c51,2025-05-07T10:05:38.308Z,37.819021,-122.367569
E-fb55,2025-05-07T03:27:13.505Z,37.732191,-122.357220
E-7b9d,2025-05-06T21:34:24.082Z,37.817401,-122.407646
E-76c5,2025-05-07T08:27:42.159Z,37.700431,-122.463710
E-5645,2025-05-07T04:19:30.611Z,37.729927,-122.373874
E-e02f,2025-05-07T20:52:06.185Z,37.706861,-122.377244
E-e68b,2025-05-07T21:01:28.105Z,37.794589,-122.432174
E-bac4,2025-05-07T20:45:24.468Z,37.787654,-122.447556
E-6a33,2025-05-07T06:49:04.818Z,37.706655,-122.399830
E-2ba3,2025-05-07T20:34:47.632Z,37.709204,-122.449696
E-c3c0,2025-05-07T03:55:54.357Z,37.757773,-122.489221
E-0a7c,2025-05-07T19:44:52.151Z,37.821136,-122.366801
E-bba5,2025-05-07T04:17:42.020Z,37.733666,-122.415193
E-f393,2025-05-07T13:50:41.458Z,37.811982,-122.398977
E-d48b,2025-05-07T14:35:50.192Z,37.829313,-122.433573
E-bf64,2025-05-07T10:52:30.946Z,37.771744,-122.446889
E-39f7,2025-05-07T17:29:39.635Z,37.773132,-122.437233
E-25b5,2025-05-07T14:20:19.592Z,37.724978,-122.387381
E-228a,2025-05-07T11:16:25.809Z,37.826206,-122.425739
E-0c42,2025-05-07T14:49:09.421Z,37.752493,-122.430243
E-71ef,2025-05-07T04:38:30.367Z,37.746464,-122.379065
E-6c47,2025-05-07T18:25:20.897Z,37.827679,-122.458230
E-4d74,2025-05-07T08:47:05.445Z,37.829075,-122.379550
E-dd87,2025-05-07T01:06:07.427Z,37.810601,-122.357775
E-4d93,2025-05-07T02:55:25.666Z,37.719107,-122.381293
E-f0d8,2025-05-07T12:42:58.793Z,37.795064,-122.438953
E-fb4e,2025-05-07T13:58:33.346Z,37.765168,-122.471850
E-b18d,2025-05-07T01:27:36.739Z,37.706401,-122.510747
E-3833,2025-05-07T00:52:29.270Z,37.788963,-122.466247
E-8723,2025-05-07T03:58:03.974Z,37.719408,-122.461005
E-4bcd,2025-05-07T18:25:51.549Z,37.774821,-122.496310
E-727a,2025-05-06T21:39:09.078Z,37.753497,-122.381948
E-eb5a,2025-05-07T04:19:29.516Z,37.778285,-122.361242
E-d3f7,2025-05-06T22:41:16.167Z,37.739876,-122.413556
E-e491,2025-05-07T09:03:33.434Z,37.727484,-122.351376
E-d320,2025-05-07T18:31:24.938Z,37.737919,-122.494760
E-385d,2025-05-07T15:50:23.011Z,37.780043,-122.505687
E-5eab,2025-05-06T22:20:46.764Z,37.805102,-122.529497
E-c906,2025-05-07T15:46:33.647Z,37.809376,-122.417235
E-f1fc,2025-05-07T18:17:01.996Z,37.741240,-122.511123
E-874f,2025-05-07T09:19:28.946Z,37.747205,-122.362391
E-29b2,2025-05-07T15:57:44.334Z,37.811549,-122.505736
E-ec68,2025-05-07T16:57:43.274Z,37.829396,-122.499833
E-0831,2025-05-07T18:02:22.203Z,37.774953,-122.508424
E-9fd1,2025-05-07T15:40:55.972Z,37.730345,-122.412794
E-9bab,2025-05-07T11:07:24.014Z,37.796776,-122.523930
E-c457,2025-05-07T02:09:44.943Z,37.741257,-122.425981
E-819f,2025-05-07T06:32:18.588Z,37.707940,-122.364711
E-c43b,2025-05-07T11:40:55.520Z,37.740661,-122.402923
E-e255,2025-05-07T02:23:54.223Z,37.737975,-122.496891
E-444e,2025-05-07T19:00:59.580Z,37.715692,-122.492662
E-c2a8,2025-05-07T11:22:55.308Z,37.774931,-122.524355
E-afe4,2025-05-07T00:22:00.860Z,37.714612,-122.421465
E-c9eb,2025-05-07T04:59:48.879Z,37.707910,-122.490994
E-8f46,2025-05-07T08:34:30.540Z,37.809470,-122.499289
E-1aa1,2025-05-07T19:19:37.128Z,37.714769,-122.496398
E-b1ed,2025-05-07T02:11:08.614Z,37.707869,-122.527838
E-6135,2025-05-06T23:23:55.516Z,37.796214,-122.476357
E-779f,2025-05-07T21:10:50.623Z,37.704420,-122.385751
E-871b,2025-05-07T19:09:16.434Z,37.749615,-122.384550
E-b18c,2025-05-07T15:13:29.814Z,37.791215,-122.395731
E-6b23,2025-05-07T20:40:35.287Z,37.779117,-122.497658
E-9645,2025-05-07T04:46:11.603Z,37.783536,-122.360698
E-884e,2025-05-07T00:14:45.634Z,37.781272,-122.476798
E-5494,2025-05-07T20:40:22.041Z,37.735240,-122.438398
E-1c39,2025-05-07T01:46:02.451Z,37.711561,-122.386672
E-5113,2025-05-07T15:01:56.210Z,37.795065,-122.357090
E-a6cb,2025-05-07T11:05:25.839Z,37.829748,-122.382585
E-6cce,2025-05-06T22:24:06.635Z,37.738065,-122.400233
E-dfd4,2025-05-07T03:36:53.800Z,37.735808,-122.353067
E-9f35,2025-05-07T11:45:19.309Z,37.721117,-122.520714
E-a722,2025-05-07T05:41:25.698Z,37.710146,-122.416793
E-d332,2025-05-06T21:55:16.220Z,37.789625,-122.364774
E-d428,2025-05-07T14:30:31.075Z,37.759564,-122.468008
E-6710,2025-05-07T19:02:36.736Z,37.722649,-122.514277
E-8f61,2025-05-07T19:45:44.154Z,37.722875,-122.391653
E-5126,2025-05-07T20:30:58.983Z,37.717714,-122.363061
E-7f7d,2025-05-07T04:09:32.961Z,37.778407,-122.479582
E-087c,2025-05-07T20:14:26.818Z,37.732306,-122.456655
E-b404,2025-05-06T22:50:30.416Z,37.806867,-122.411534
E-7c82,2025-05-07T14:49:16.960Z,37.734315,-122.502003
E-b147,2025-05-07T19:03:38.400Z,37.707725,-122.493470
E-41b0,2025-05-07T02:26:53.601Z,37.805322,-122.431271
E-c69a,2025-05-07T17:24:54.373Z,37.719716,-122.436600
E-73e8,2025-05-07T13:53:23.145Z,37.794608,-122.386934
E-e063,2025-05-07T19:40:31.924Z,37.800651,-122.486302
E-4895,2025-05-07T14:37:56.601Z,37.790470,-122.372251
E-ed59,2025-05-07T09:40:14.877Z,37.816353,-122.435514
E-a665,2025-05-07T13:40:39.581Z,37.820446,-122.373275
E-2990,2025-05-06T23:30:43.859Z,37.813533,-122.389455
E-1fdf,2025-05-07T12:29:50.564Z,37.755931,-122.458934
E-75d6,2025-05-07T04:34:56.668Z,37.803026,-122.490585
E-7339,2025-05-07T11:17:16.870Z,37.788893,-122.498613
E-ff85,2025-05-07T19:26:51.663Z,37.702224,-122.385552
E-eb5a,2025-05-07T01:39:54.763Z,37.781767,-122.500667
E-89a5,2025-05-07T09:32:02.453Z,37.748563,-122.364025
E-e0f7,2025-05-07T13:28:49.543Z,37.700515,-122.414097
E-1e9f,2025-05-06T22:12:25.784Z,37.811774,-122.460991
E-f90e,2025-05-07T05:40:26.371Z,37.719997,-122.434543
E-2fba,2025-05-07T10:06:27.718Z,37.716155,-122.403423
E-ce29,2025-05-07T13:06:17.516Z,37.755799,-122.517901
E-7057,2025-05-07T10:11:55.259Z,37.809692,-122.404524
E-55f4,2025-05-07T10:34:03.334Z,37.775443,-122.448023
E-92d2,2025-05-06T22:44:19.175Z,37.767385,-122.492797
E-216f,2025-05-07T02:21:50.994Z,37.768867,-122.462033
E-92a8,2025-05-07T03:26:39.722Z,37.745496,-122.487875
E-d9da,2025-05-06T22:35:40.926Z,37.723323,-122.451294
E-c8f5,2025-05-07T20:36:45.579Z,37.797423,-122.443849
E-7640,2025-05-07T03:35:45.858Z,37.780479,-122.424877
E-3b8a,2025-05-07T05:56:33.690Z,37.703851,-122.522191
E-dcbc,2025-05-07T00:25:19.136Z,37.816366,-122.391880
E-ffea,2025-05-07T02:45:55.448Z,37.744713,-122.463132
E-b594,2025-05-07T00:48:51.815Z,37.725671,-122.480571
E-62d2,2025-05-07T10:18:47.402Z,37.813445,-122.365456
E-4b0b,2025-05-07T13:18:08.528Z,37.770883,-122.417261
E-af55,2025-05-07T11:39:03.917Z,37.759380,-122.509248
E-b492,2025-05-07T02:09:15.325Z,37.706908,-122.486094
E-0e97,2025-05-07T19:59:59.776Z,37.821737,-122.377467
E-c8b8,2025-05-07T08:06:27.245Z,37.828799,-122.481418
E-3ff9,2025-05-07T07:17:50.655Z,37.815471,-122.406395
E-5857,2025-05-07T12:07:51.006Z,37.732419,-122.511865
E-5adf,2025-05-07T01:19:09.638Z,37.721939,-122.478398
E-68c1,2025-05-07T11:37:46.997Z,37.774094,-122.525080
E-ada4,2025-05-07T13:51:14.013Z,37.778051,-122.474231
E-38bd,2025-05-07T21:18:33.737Z,37.714281,-122.479710
E-9517,2025-05-06T23:12:22.828Z,37.820370,-122.379008
E-56a0,2025-05-06T23:37:58.287Z,37.733140,-122.354667
E-1e9f,2025-05-06T21:56:18.281Z,37.824557,-122.469080
E-6d27,2025-05-07T19:55:26.569Z,37.773924,-122.454118
E-2222,2025-05-07T11:32:48.099Z,37.797490,-122.354182
E-1c08,2025-05-07T14:45:31.810Z,37.740360,-122.417193
E-ee58,2025-05-07T18:56:16.297Z,37.814368,-122.395986
E-cb72,2025-05-06T22:52:54.084Z,37.768235,-122.449540
